generation,1_found_failures,1_mean_tcp_score,1_mean_failure_rate,1_qd_tcp_score,1_qd_failure_rate,1_added_to_archive,1_replaced_elite,1_num_valid_test_cases,1_num_sim_steps,1_not_confirmed_solvable
280,155,1.0,0.5230559,2199.0,1150.2,1,0,2199,912,2
281,157,1.0,-1,2200.0,-1,1,1,2200,884,2
282,161,1.0,-1,2200.0,-1,0,0,2200,872,4
283,169,1.0,-1,2203.0,-1,1,2,2203,833,1
284,163,1.0,-1,2204.0,-1,0,1,2204,892,1
285,147,1.0,-1,2206.0,-1,3,0,2206,1020,5
286,153,1.0,-1,2207.0,-1,2,0,2207,936,2
287,165,1.0,-1,2210.0,-1,2,1,2210,857,1
288,158,1.0,-1,2210.0,-1,0,0,2210,893,4
289,154,1.0,-1,2212.0,-1,1,2,2212,993,2
290,157,1.0,-1,2214.0,-1,0,2,2214,945,2
291,156,1.0,-1,2217.0,-1,1,2,2217,944,3
292,165,1.0,-1,2221.0,-1,2,3,2221,869,4
293,146,1.0,-1,2224.0,-1,0,3,2224,1000,2
294,161,1.0,-1,2225.0,-1,1,1,2225,861,2
295,158,1.0,-1,2226.0,-1,0,1,2226,877,2
296,162,1.0,-1,2227.0,-1,0,1,2227,868,5
297,160,1.0,-1,2229.0,-1,0,2,2229,885,2
298,159,1.0,-1,2232.0,-1,2,1,2232,888,5
299,162,1.0,-1,2234.0,-1,3,1,2234,842,2
300,163,1.0,0.52326626,2235.0,1169.5,0,1,2235,884,3
301,157,1.0,-1,2237.0,-1,0,2,2237,864,7
302,150,1.0,-1,2241.0,-1,1,3,2241,968,3
303,170,1.0,-1,2241.0,-1,0,0,2241,773,1
304,163,1.0,-1,2244.0,-1,0,3,2244,886,1
305,151,1.0,-1,2247.0,-1,2,1,2247,999,1
306,163,1.0,-1,2253.0,-1,3,3,2253,815,7
307,157,1.0,-1,2258.0,-1,3,3,2258,882,2
308,166,1.0,-1,2261.0,-1,0,3,2261,901,0
309,157,1.0,-1,2262.0,-1,1,0,2262,911,1
310,157,1.0,-1,2264.0,-1,1,2,2264,954,0
311,171,1.0,-1,2265.0,-1,0,1,2265,801,1
312,168,1.0,-1,2267.0,-1,0,2,2267,835,2
313,157,0.99999994,-1,2268.0,-1,0,1,2268,898,1
314,161,1.0,-1,2270.0,-1,0,2,2270,909,2
315,145,1.0,-1,2271.0,-1,1,1,2271,998,3
316,159,1.0,-1,2273.0,-1,0,2,2273,911,2
317,159,1.0,-1,2273.0,-1,0,0,2273,918,4
318,164,1.0,-1,2273.0,-1,0,0,2273,881,4
319,158,1.0,-1,2274.0,-1,0,1,2274,966,0
320,166,1.0,0.5237803,2275.0,1191.6001,1,0,2275,856,3
321,162,1.0,-1,2277.0,-1,1,1,2277,870,4
322,168,1.0,-1,2279.0,-1,0,2,2279,792,3
323,157,1.0,-1,2279.0,-1,0,0,2279,884,3
324,163,1.0,-1,2280.0,-1,0,1,2280,881,0
325,150,1.0,-1,2281.0,-1,0,1,2281,964,6
326,149,1.0,-1,2281.0,-1,0,0,2281,954,1
327,167,1.0,-1,2282.0,-1,0,1,2282,857,1
328,173,1.0,-1,2283.0,-1,0,1,2283,785,3
329,161,1.0,-1,2285.0,-1,1,1,2285,917,2
