generation,single-policy_found_failures,single-policy_mean_tcp_score,single-policy_mean_failure_rate,single-policy_qd_tcp_score,single-policy_qd_failure_rate,single-policy_added_to_archive,single-policy_replaced_elite,single-policy_num_valid_test_cases,single-policy_num_sim_steps,single-policy_not_confirmed_solvable,multi-policy_found_failures,multi-policy_mean_tcp_score,multi-policy_mean_failure_rate,multi-policy_qd_tcp_score,multi-policy_qd_failure_rate,multi-policy_added_to_archive,multi-policy_replaced_elite,multi-policy_num_valid_test_cases,multi-policy_num_sim_steps,multi-policy_not_confirmed_solvable
430,136,1.0,-1,2404.0,-1,0,1,2404,837,24,174,0.91250175,-1,2274.867,-1,0,1,2493,12278,24
431,132,1.0,-1,2405.0,-1,0,1,2405,855,27,168,0.9128493,-1,2275.7334,-1,0,2,2493,13305,27
432,142,1.0,-1,2406.0,-1,0,1,2406,804,19,178,0.91295636,-1,2276.0002,-1,0,2,2493,12965,19
433,139,1.0,-1,2406.0,-1,0,0,2406,800,23,169,0.9133842,-1,2277.067,-1,0,4,2493,12956,23
434,131,1.0,-1,2406.0,-1,0,0,2406,798,27,166,0.91343766,-1,2277.2002,-1,0,2,2493,12522,27
435,130,1.0,-1,2406.0,-1,0,0,2406,846,26,167,0.91349113,-1,2277.3335,-1,0,2,2493,12847,26
436,134,0.99999994,-1,2407.0,-1,0,1,2407,803,28,168,0.9136784,-1,2277.8003,-1,0,3,2493,12529,28
437,132,0.99999994,-1,2407.0,-1,0,0,2407,854,21,171,0.91378534,-1,2278.067,-1,0,2,2493,13288,21
438,142,0.99999994,-1,2407.0,-1,0,0,2407,792,23,173,0.91389227,-1,2278.3335,-1,0,3,2493,12701,23
439,129,1.0,-1,2408.0,-1,0,1,2408,901,25,170,0.91391903,-1,2278.4001,-1,0,1,2493,13784,25
440,140,1.0,-1,2409.0,-1,0,1,2409,828,18,179,0.91402596,-1,2278.6667,-1,0,4,2493,12917,18
441,134,1.0,-1,2410.0,-1,0,1,2410,821,25,168,0.9143469,-1,2279.4668,-1,0,4,2493,13255,25
442,147,1.0,-1,2412.0,-1,0,2,2412,769,18,174,0.9145341,-1,2279.9336,-1,0,5,2493,13193,18
443,134,1.0,-1,2413.0,-1,0,1,2413,794,25,170,0.9146142,-1,2280.1333,-1,0,2,2493,12761,25
444,139,1.0,-1,2413.0,-1,0,0,2413,819,18,176,0.91469455,-1,2280.3335,-1,0,3,2493,13014,18
445,141,1.0,-1,2414.0,-1,0,1,2414,744,28,168,0.9149887,-1,2281.067,-1,0,3,2493,11980,28
446,137,1.0,-1,2414.0,-1,0,0,2414,810,24,168,0.9149887,-1,2281.067,-1,0,0,2493,12948,24
447,134,1.0,-1,2414.0,-1,0,0,2414,791,30,166,0.9150155,-1,2281.1338,-1,0,1,2493,12923,30
448,130,1.0,-1,2415.0,-1,0,1,2415,837,31,159,0.9151491,-1,2281.4668,-1,0,2,2493,12967,31
449,141,1.0,-1,2416.0,-1,0,1,2416,814,19,178,0.91530955,-1,2281.8667,-1,0,3,2493,12899,19
450,129,1.0,-1,2417.0,-1,0,1,2417,912,23,166,0.91549677,-1,2282.3335,-1,0,2,2493,13932,23
451,135,1.0,-1,2417.0,-1,0,0,2417,810,21,174,0.9156305,-1,2282.667,-1,0,1,2493,12832,21
452,130,0.99999994,-1,2419.0,-1,0,2,2419,811,27,167,0.9162188,-1,2284.1335,-1,0,6,2493,12740,27
453,145,0.99999994,-1,2419.0,-1,0,0,2419,736,24,173,0.916299,-1,2284.3335,-1,0,3,2493,12185,24
454,144,0.99999994,-1,2419.0,-1,0,0,2419,818,15,180,0.91632587,-1,2284.4004,-1,0,1,2493,13173,15
455,145,1.0,-1,2422.0,-1,0,3,2422,773,21,173,0.91678035,-1,2285.5334,-1,0,3,2493,12546,21
456,126,1.0,-1,2422.0,-1,0,0,2422,883,24,170,0.91683394,-1,2285.667,-1,0,2,2493,13472,24
457,132,1.0,-1,2422.0,-1,0,0,2422,810,25,170,0.91694087,-1,2285.9336,-1,0,2,2493,12773,25
458,142,1.0,-1,2423.0,-1,0,1,2423,836,16,174,0.9170478,-1,2286.2002,-1,0,2,2493,13475,16
459,141,1.0,-1,2423.0,-1,0,0,2423,794,19,174,0.9170478,-1,2286.2002,-1,0,0,2493,12959,19
460,137,1.0,-1,2423.0,-1,0,0,2423,816,23,174,0.9170478,-1,2286.2002,-1,0,0,2493,12873,23
461,130,1.0,-1,2423.0,-1,0,0,2423,775,27,166,0.9170478,-1,2286.2002,-1,0,0,2493,12166,27
462,136,1.0,-1,2424.0,-1,0,1,2424,781,28,168,0.9170009,-1,2287.0002,-1,0,2,2494,12126,28
463,140,1.0,-1,2424.0,-1,0,0,2424,751,26,167,0.9171078,-1,2287.2668,-1,0,3,2494,12549,26
464,138,1.0,-1,2424.0,-1,0,0,2424,850,20,171,0.91726816,-1,2287.6667,-1,0,3,2494,13150,20
465,144,1.0,-1,2424.0,-1,0,0,2424,716,24,167,0.9173484,-1,2287.867,-1,0,3,2494,12427,24
466,147,1.0,-1,2424.0,-1,0,0,2424,743,17,180,0.9176158,-1,2288.5337,-1,0,3,2494,12497,17
467,144,1.0,-1,2428.0,-1,0,4,2428,730,23,169,0.91799605,-1,2290.4001,-1,0,7,2495,12331,23
468,151,1.0,-1,2428.0,-1,0,0,2428,682,18,178,0.91804945,-1,2290.5334,-1,0,2,2495,11720,18
469,146,1.0,-1,2431.0,-1,0,3,2431,836,11,186,0.9181296,-1,2290.7334,-1,0,3,2495,13404,11
470,142,1.0,-1,2431.0,-1,0,0,2431,762,26,173,0.9181563,-1,2290.8,-1,0,1,2495,12012,26
471,125,1.0,-1,2431.0,-1,0,0,2431,853,32,156,0.9181563,-1,2290.8,-1,0,0,2495,13642,32
472,128,1.0,-1,2431.0,-1,0,0,2431,875,26,162,0.9181563,-1,2290.8,-1,0,0,2495,14075,26
473,135,1.0,-1,2431.0,-1,0,0,2431,858,21,175,0.9183167,-1,2291.2002,-1,0,6,2495,12875,21
474,131,1.0,-1,2431.0,-1,0,0,2431,856,24,166,0.9183167,-1,2291.2002,-1,0,0,2495,13375,24
475,135,1.0,-1,2431.0,-1,0,0,2431,819,21,166,0.9183167,-1,2291.2002,-1,0,0,2495,13352,21
476,139,1.0,-1,2432.0,-1,0,1,2432,783,24,166,0.918477,-1,2291.6,-1,0,2,2495,13139,24
477,138,1.0,-1,2432.0,-1,0,0,2432,830,19,176,0.9185304,-1,2291.7334,-1,0,2,2495,13043,19
478,144,1.0,-1,2432.0,-1,0,0,2432,822,17,177,0.9186641,-1,2292.067,-1,0,4,2495,13004,17
479,139,1.0,-1,2432.0,-1,0,0,2432,794,24,172,0.9187442,-1,2292.2668,-1,0,2,2495,12584,24
480,136,1.0,-1,2433.0,-1,0,1,2433,814,24,172,0.9188244,-1,2292.4668,-1,0,1,2495,12540,24
481,140,1.0,-1,2434.0,-1,0,1,2434,803,19,179,0.919145,-1,2293.2668,-1,0,3,2495,12984,19
482,142,1.0,-1,2435.0,-1,0,1,2435,791,23,169,0.91917175,-1,2293.3335,-1,0,1,2495,13193,23
483,125,1.0,-1,2435.0,-1,0,0,2435,883,27,164,0.9193053,-1,2293.6667,-1,0,3,2495,13432,27
484,149,1.0,-1,2436.0,-1,0,1,2436,736,18,173,0.91949236,-1,2294.1335,-1,0,2,2495,12939,18
485,143,1.0,-1,2436.0,-1,0,0,2436,834,15,180,0.91949236,-1,2294.1335,-1,0,0,2495,13112,15
486,141,1.0,-1,2436.0,-1,0,0,2436,762,26,169,0.91959924,-1,2294.4001,-1,0,2,2495,12357,26
487,137,1.0,-1,2438.0,-1,0,2,2438,801,23,172,0.9201336,-1,2295.7334,-1,0,7,2495,12653,23
488,143,1.0,-1,2438.0,-1,0,0,2438,827,19,176,0.92024046,-1,2296.0,-1,0,3,2495,13354,19
489,144,1.0,-1,2439.0,-1,0,1,2439,763,23,173,0.92029387,-1,2296.1333,-1,0,1,2495,12436,23
490,141,1.0,-1,2440.0,-1,0,1,2440,816,19,174,0.92040086,-1,2296.4001,-1,0,1,2495,12702,19
491,145,1.0,-1,2441.0,-1,0,1,2441,791,17,176,0.92053443,-1,2296.7334,-1,0,3,2495,13181,17
492,138,1.0,-1,2441.0,-1,0,0,2441,834,22,172,0.92053443,-1,2296.7334,-1,0,0,2495,13392,22
493,137,1.0,-1,2442.0,-1,0,1,2442,836,20,175,0.92064136,-1,2297.0002,-1,0,2,2495,13293,20
