generation,single-policy_found_failures,single-policy_mean_tcp_score,single-policy_mean_failure_rate,single-policy_qd_tcp_score,single-policy_qd_failure_rate,single-policy_added_to_archive,single-policy_replaced_elite,single-policy_num_valid_test_cases,single-policy_num_sim_steps,single-policy_not_confirmed_solvable,multi-policy_found_failures,multi-policy_mean_tcp_score,multi-policy_mean_failure_rate,multi-policy_qd_tcp_score,multi-policy_qd_failure_rate,multi-policy_added_to_archive,multi-policy_replaced_elite,multi-policy_num_valid_test_cases,multi-policy_num_sim_steps,multi-policy_not_confirmed_solvable
193,131,1.0,-1,1979.0,-1,2,3,1979,1156,55,145,0.91429055,-1,1846.8668,-1,2,7,2020,17748,55
194,127,1.0,-1,1981.0,-1,1,1,1981,1140,63,137,0.91430926,-1,1848.7334,-1,1,3,2022,17690,63
195,133,1.0,-1,1986.0,-1,3,3,1986,1114,57,143,0.9142576,-1,1853.2002,-1,3,6,2027,17624,57
196,125,0.99999994,-1,1988.0,-1,0,2,1988,1145,62,138,0.91453934,-1,1855.6002,-1,0,8,2029,17905,62
197,120,1.0,-1,1989.0,-1,0,1,1989,1137,68,132,0.914605,-1,1855.7335,-1,0,2,2029,17367,68
198,133,0.99999994,-1,1992.0,-1,2,1,1992,1200,51,149,0.91479665,-1,1858.8668,-1,2,4,2032,17842,51
199,125,1.0,-1,1995.0,-1,2,2,1995,1170,58,142,0.91505325,-1,1862.1334,-1,2,7,2035,17646,58
200,126,1.0,0.87781674,1997.0,1753.0,2,2,1997,1148,65,135,0.915104,0.91234654,1864.0669,1858.45,2,5,2037,17715,65
201,142,1.0,-1,2000.0,-1,2,3,2000,1187,47,153,0.9152527,-1,1866.2002,-1,2,6,2039,18058,47
202,114,1.0,-1,2003.0,-1,4,3,2003,1225,66,134,0.91534454,-1,1869.1335,-1,4,7,2042,17683,66
203,125,1.0,-1,2008.0,-1,4,4,2008,1128,61,139,0.9152256,-1,1873.4668,-1,4,7,2047,17577,61
204,117,0.99999994,-1,2012.0,-1,2,3,2012,1184,68,132,0.9153084,-1,1875.4669,-1,2,3,2049,17728,68
205,125,1.0,-1,2015.0,-1,1,2,2015,1171,64,136,0.9153584,-1,1877.4001,-1,1,4,2051,17725,64
206,132,0.99999994,-1,2021.0,-1,8,2,2021,1135,58,142,0.91512805,-1,1883.3335,-1,8,3,2058,17608,58
207,119,1.0,-1,2026.0,-1,1,4,2026,1160,65,135,0.9150429,-1,1887.7335,-1,1,5,2063,17438,65
208,121,1.0,-1,2028.0,-1,1,2,2028,1198,62,138,0.9151898,-1,1889.867,-1,1,7,2065,17718,62
209,133,1.0,-1,2030.0,-1,3,2,2030,1127,58,142,0.91526306,-1,1890.9335,-1,3,4,2066,17701,58
210,129,1.0,-1,2036.0,-1,1,6,2036,1085,62,138,0.9152745,-1,1895.5334,-1,1,7,2071,17512,62
211,122,1.0,-1,2036.0,-1,1,0,2036,1189,57,143,0.9153562,-1,1897.5334,-1,1,4,2073,17599,57
212,131,1.0,-1,2038.0,-1,1,1,2038,1188,58,142,0.91546994,-1,1899.6001,-1,1,6,2075,17913,58
213,121,1.0,-1,2042.0,-1,1,3,2042,1173,65,134,0.91559196,-1,1902.6001,-1,1,5,2078,17970,65
214,123,1.0,-1,2047.0,-1,3,4,2047,1158,68,132,0.9158502,-1,1906.8002,-1,3,10,2082,17713,68
215,115,1.0,-1,2047.0,-1,0,0,2047,1163,69,131,0.91588223,-1,1906.8668,-1,0,1,2082,17438,69
216,137,1.0,-1,2051.0,-1,4,3,2051,1171,51,149,0.91597134,-1,1909.8002,-1,4,10,2085,18219,51
217,128,1.0,-1,2053.0,-1,3,2,2053,1132,64,136,0.9161075,-1,1911.0001,-1,3,4,2086,17610,64
218,125,1.0,-1,2056.0,-1,2,3,2056,1140,62,138,0.9163155,-1,1913.2668,-1,2,6,2088,17485,62
219,128,1.0,-1,2058.0,-1,1,2,2058,1198,55,145,0.9164037,-1,1916.2002,-1,1,7,2091,17833,55
220,116,1.0,-1,2060.0,-1,0,2,2060,1157,71,129,0.9164199,-1,1918.0669,-1,0,3,2093,17381,71
221,127,1.0,-1,2065.0,-1,2,4,2065,1200,59,141,0.91661906,-1,1923.0668,-1,2,8,2098,18180,59
222,123,1.0,-1,2067.0,-1,2,2,2067,1139,64,136,0.9165398,-1,1924.7335,-1,2,5,2100,17656,64
223,130,1.0,-1,2067.0,-1,0,0,2067,1158,53,147,0.9167302,-1,1925.1335,-1,0,3,2100,17779,53
224,133,1.0,-1,2069.0,-1,3,2,2069,1150,56,144,0.9168968,-1,1926.4001,-1,3,4,2101,17589,56
225,120,1.0,-1,2070.0,-1,1,1,2070,1200,63,137,0.9168491,-1,1928.1335,-1,1,3,2103,18000,63
226,104,1.0,-1,2071.0,-1,1,1,2071,1209,78,122,0.9167063,-1,1929.6669,-1,1,2,2105,17888,78
227,129,1.0,-1,2072.0,-1,1,0,2072,1153,62,138,0.91677755,-1,1930.7335,-1,1,2,2106,17762,62
228,125,1.0,-1,2075.0,-1,1,3,2075,1148,63,137,0.9168405,-1,1934.5334,-1,1,6,2110,17483,63
